order,name,category,pngPath,outputPrefab,done
1,Aldric_Knight-1,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/Aldric_Knight-1.png,Assets/Ronin7/Art/Generated/Characters3D/Named/Aldric_Knight-1.prefab,NO
2,Cassie-04,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/Cassie-04.png,Assets/Ronin7/Art/Generated/Characters3D/Named/Cassie-04.prefab,NO
3,Commander-Vale,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/Commander-Vale.png,Assets/Ronin7/Art/Generated/Characters3D/Named/Commander-Vale.prefab,NO
4,Coral-Vex,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/Coral-Vex.png,Assets/Ronin7/Art/Generated/Characters3D/Named/Coral-Vex.prefab,NO
5,Dr-Heris,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/Dr-Heris.png,Assets/Ronin7/Art/Generated/Characters3D/Named/Dr-Heris.prefab,NO
6,Drillmaster-Caradoc,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/Drillmaster-Caradoc.png,Assets/Ronin7/Art/Generated/Characters3D/Named/Drillmaster-Caradoc.prefab,NO
7,Echo,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/Echo.png,Assets/Ronin7/Art/Generated/Characters3D/Named/Echo.prefab,NO
8,Gryph,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/Gryph.png,Assets/Ronin7/Art/Generated/Characters3D/Named/Gryph.prefab,NO
9,Iris,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/Iris.png,Assets/Ronin7/Art/Generated/Characters3D/Named/Iris.prefab,NO
10,Kerrax,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/Kerrax.png,Assets/Ronin7/Art/Generated/Characters3D/Named/Kerrax.prefab,NO
11,Kessler,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/Kessler.png,Assets/Ronin7/Art/Generated/Characters3D/Named/Kessler.prefab,NO
12,Khall,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/Khall.png,Assets/Ronin7/Art/Generated/Characters3D/Named/Khall.prefab,NO
13,Kira-Dusk,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/Kira-Dusk.png,Assets/Ronin7/Art/Generated/Characters3D/Named/Kira-Dusk.prefab,NO
14,Maelgorn,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/Maelgorn.png,Assets/Ronin7/Art/Generated/Characters3D/Named/Maelgorn.prefab,NO
15,Master-Kaelen,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/Master-Kaelen.png,Assets/Ronin7/Art/Generated/Characters3D/Named/Master-Kaelen.prefab,NO
16,Matron-Hespa,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/Matron-Hespa.png,Assets/Ronin7/Art/Generated/Characters3D/Named/Matron-Hespa.prefab,NO
17,Mera-Voss,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/Mera-Voss.png,Assets/Ronin7/Art/Generated/Characters3D/Named/Mera-Voss.prefab,NO
18,Mira,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/Mira.png,Assets/Ronin7/Art/Generated/Characters3D/Named/Mira.prefab,NO
19,Morrigan,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/Morrigan.png,Assets/Ronin7/Art/Generated/Characters3D/Named/Morrigan.prefab,NO
20,Resh,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/Resh.png,Assets/Ronin7/Art/Generated/Characters3D/Named/Resh.prefab,NO
21,Ronin-7_Cipher_Soren,Named,Assets/Ronin7/Art/Generated/Characters2D/Named/Ronin-7_Cipher_Soren.png,Assets/Ronin7/Art/Generated/Characters3D/Named/Ronin-7_Cipher_Soren.prefab,NO
